id,Humidity,Temperature,,,,,
1,0,0,,,,,
2,0,0,,,,,
3,0,0,,,,,
4,0,0,,,,,
5,0,0,,,,,
6,0,0,,,,,
7,0,0,,,,,
8,0,0,,,,,
9,0,0,,,,,
10,82.9,25.2,,,,,
11,85.1,25.3,,,,,
12,85.8,25.4,,,,,
13,85.8,25.5,,,,,
14,86,25.6,,,,,
15,85.8,25.7,,,,,
16,85.9,25.8,,,,,
17,85.9,25.8,,,,,
18,85.7,25.8,,,,,
19,85.7,25.9,,,,,
20,85.7,25.9,,,,,
21,85.7,25.9,,,,,
22,85.7,25.9,,,,,
23,85.6,26,,,,,
24,85.6,26,,,,,
25,85.6,26,,,,,
26,85.6,26,,,,,
27,85.5,26.1,,,,,
28,85.5,26.1,,,,,
29,85.5,26.2,,,,,
30,85.5,26.2,,,,,
31,85.5,26.2,,,,,
32,85.3,26.2,,,,,
33,85.3,26.2,,,,,
34,85.2,26.3,,,,,
35,85.2,26.3,,,,,
36,85,26.3,,,,,
37,85,26.4,,,,,
38,85,26.2,,,,,
39,84.9,26.4,,,,,
40,84.9,26.4,,,,,
41,84.7,26.4,,,,,
42,84.7,26.4,,,,,
43,84.5,26.4,,,,,
44,84.7,26.4,,,,,
45,84.5,26.4,,,,,
46,84.5,26.4,,,,,
47,84.4,26.5,,,,,
48,84.1,26.5,,,,,
49,84.3,26.5,,,,,
50,84.1,26.5,,,,,
51,84.1,26.5,,,,,
52,84.1,26.6,,,,,
53,83.9,26.6,,,,,
54,83.8,26.6,,,,,
55,83.6,26.7,,,,,
56,83.8,26.7,,,,,
57,83.6,26.7,,,,,
58,83.4,26.7,,,,,
59,83.4,26.6,,,,,
60,83.3,26.6,,,,,
61,83.1,26.7,,,,,
62,83.1,26.7,,,,,
63,83.1,26.7,,,,,
64,82.8,26.8,,,,,
65,82.9,26.7,,,,,
66,82.7,26.8,,,,,
67,82.8,26.7,,,,,
68,82.5,26.8,,,,,
69,82.5,26.8,,,,,
70,82.3,26.9,,,,,
71,82.2,26.9,,,,,
72,82.2,26.9,,,,,
73,82.1,26.8,,,,,
74,82.1,26.8,,,,,
75,82,26.9,,,,,
76,81.9,27,,,,,
77,81.9,26.9,,,,,
78,81.7,27,,,,,
79,81.6,27,,,,,
80,81.6,27,,,,,
81,81.5,27,,,,,
82,81.4,27,,,,,
83,81.2,27,,,,,
84,0,0,,,,,
85,0,0,,,,,
86,0,0,,,,,
87,0,0,,,,,
88,0,0,,,,,
89,0,0,,,,,
90,0,0,,,,,
91,0,0,,,,,
92,0,0,,,,,
93,0,0,,,,,
94,0,0,,,,,
95,0,0,,,,,
96,0,0,,,,,
97,0,0,,,,,
98,0,0,,,,,
99,0,0,,,,,
100,0,0,,,,,
101,0,0,,,,,
102,0,0,,,,,
103,0,0,,,,,
104,0,0,,,,,
105,0,0,,,,,
106,0,0,,,,,
107,0,0,,,,,
108,0,0,,,,,
109,0,0,,,,,
110,0,0,,,,,
